0 0 0 0.0 MB 0.5 0.0 0.0 0.0 0
1 0 0 0.0 MF 0.5 1.0 1.0 7.86e-05 0 0
2 0 0 0.0 MB 0.8713937010571399 0.9864075471627056 1.0 9.384000000000001e-05 0 0 0 0 0
3 35 0 0.0 MF 0.5 1.0 1.0 4.32e-05 0 0
4 35 0 1.2e-06 MF 0.9158881782668448 1.0 1.0 9.648e-05 0 0
5 0 0 2.4e-06 MF 0.9755394160453221 0.9539097119402661 0.9729440871664418 0.00021213600000000003 0 0
6 0 0 5.16e-06 MF 0.9806076422152089 0.907023835724906 0.9258367588470368 0.0001712544 0 0
7 35 0 4.08e-06 MF 0.9484728312698155 0.9864075471627056 1.0 0.00014179200000000001 0 0
8 0 0 5.664e-06 MF 0.9957531199803324 0.8496670861765812 0.8886735565971763 0.00013210176 0 0
9 35 0 4.032e-06 MF 0.9915991312081114 0.9539097119402661 1.0 0.0001191168 0 0
10 24 0 0.0 MB 0.5 1.0 1.0 6.72e-05 1 0 0 0 0
11 24 0 3e-06 MF 0.922024350433222 1.0 1.0 9.408e-05 0 0
12 2 0 0.0 MB 0.5 1.0 1.0 4.26e-05 9 0 0 0 0
13 2 0 1.2e-06 MF 0.9220725192525739 1.0 1.0 8.124e-05 0 0
14 28 0 0.0 MB 0.5 1.0 1.0 4.4999999999999996e-05 10 0 0 0 0
15 23 0 0.0 MF 0.5 1.0 1.0 4.4399999999999995e-05 0 0
16 22 0 0.0 MB 0.5 1.0 1.0 7.08e-05 8 0 0 0 0
17 21 0 0.0 MB 0.5 1.0 1.0 6.9e-05 10 0 0 0 0
18 20 0 0.0 MB 0.5 1.0 1.0 5.1e-05 11 0 0 0 0
19 20 0 1.2e-06 MF 0.921936149583762 1.0 1.0 8.400000000000001e-05 0 0
20 20 0 2.2799999999999998e-06 MF 0.9620282444485143 0.9864075471627056 1.0 9.6e-05 0 0
21 19 0 0.0 MF 0.5 1.0 1.0 4.26e-05 0 0
22 19 0 1.2e-06 MF 0.9223679662990706 1.0 1.0 8.004e-05 0 0
23 19 0 2.2799999999999998e-06 MF 0.9624607333824751 0.9864075471627056 1.0 0.000101016 0 0
24 18 1 0.0 MF 0.5 1.0 1.0 5.34e-05 0 0
25 32 0 0.0 MB 0.5 1.0 1.0 8.460000000000001e-05 130 0 0 0 0
26 13 0 0.0 MF 0.5 1.0 1.0 5.7e-05 0 0
27 14 0 0.0 MB 0.5 1.0 1.0 8.1e-05 11 0 0 0 0
28 14 0 3e-06 MF 0.9225965217265056 1.0 1.0 0.00032399999999999996 0 0
29 15 0 0.0 MF 0.5 1.0 1.0 9.24e-05 0 0
30 14 0 1.08e-05 MF 0.9619701115122559 0.9864075471627056 1.0 0.0002514 0 0
31 32 0 2.4e-06 MF 0.9233260107696736 1.0 1.0 0.00011244 0 0
32 14 0 7.92e-06 MF 0.9776052204302688 0.9539097119402661 0.9729440871664418 0.00019296 0 0
33 12 0 0.0 MF 0.5 1.0 1.0 4.7399999999999993e-05 0 0
34 11 0 0.0 MB 0.5 1.0 1.0 6.96e-05 25 0 0 0 0
35 11 0 2.4e-06 MF 0.922713348091972 1.0 1.0 9.924e-05 0 0
36 12 0 4.2e-06 MF 0.9220502555449852 1.0 1.0 0.00012696000000000002 0 0
37 14 0 4.9680000000000005e-06 MF 0.9930549504923265 0.907023835724906 0.9409647476462838 0.00015878399999999998 0 0
38 15 0 3.6e-06 MF 0.9219559385562419 1.0 1.0 0.00015096 0 0
39 16 0 0.0 MB 0.5 1.0 1.0 4.98e-05 26 0 0 0 0
40 10 0 0.0 MB 0.5 1.0 1.0 5.22e-05 31 0 0 0 0
41 17 0 0.0 MF 0.5 1.0 1.0 0.0001254 0 0
42 10 0 4.2e-06 MF 0.9211816834941005 1.0 1.0 0.00010788 0 0
43 17 0 3.6e-06 MF 0.9225113764616371 1.0 1.0 0.00015396000000000002 0 0
44 16 0 2.4e-06 MF 0.9228973553846478 1.0 1.0 0.00013332 0 0
45 15 0 3.84e-06 MF 0.932674620831104 0.9864075471627056 0.9875660181391385 0.00014498400000000002 0 0
46 15 0 3.336e-06 MF 0.9556257705947967 0.9539097119402661 0.9585624300046883 0.0001269936 0 0
47 15 0 3.1344e-06 MF 0.989525024144675 0.907023835724906 0.9326476366355373 0.00011859743999999999 0 0
48 15 0 2.45376e-06 MF 0.9993360190462235 0.8496670861765815 0.9182700398315254 0.00011523897599999999 0 0
49 37 0 0.0 MB 0.5 1.0 1.0 4.8e-05 26 0 0 0 0
50 11 0 2.1599999999999996e-06 MF 0.9631596323139376 0.9864075471627056 1.0 0.00015369600000000001 0 0
51 12 0 5.28e-06 MF 0.9325315407690743 0.9864075471627056 0.9875660181391385 0.00012518400000000003 0 0
52 14 0 4.9872e-06 MF 0.9974335073282319 0.8496670861765813 0.8913445322258579 0.00021651359999999998 0 0
53 13 0 3e-06 MF 0.921389903933796 1.0 1.0 0.0001014 0 0
54 12 0 3.912e-06 MF 0.9556805546340927 0.9539097119402661 0.9585624300046881 0.00012147360000000002 0 0
55 11 0 5.063999999999999e-06 MF 0.977839986032313 0.9539097119402661 0.9729440871664418 0.0001292784 0 0
56 10 0 6.48e-06 MF 0.9309464666402656 0.9864075471627056 0.9875660181391385 0.00011215199999999999 0 0
57 11 0 4.4256e-06 MF 0.9930632813860752 0.907023835724906 0.940964747646284 0.00011951136 0 0
58 10 0 4.392e-06 MF 0.9549589053133113 0.9539097119402661 0.9585624300046883 0.0001138608 0 0
59 33 0 0.0 MB 0.5 1.0 1.0 5.879999999999999e-05 44 0 0 0 0
60 33 0 2.4e-06 MF 0.9231422778917961 1.0 1.0 9.671999999999998e-05 0 0
61 10 0 4.7568e-06 MF 0.9892838847667875 0.907023835724906 0.9326476366355373 0.00011334432 0 0
62 33 0 2.76e-06 MF 0.9633272680531328 0.9864075471627056 1.0 0.00012028799999999998 0 0
63 10 0 3.70272e-06 MF 0.9969120649795477 0.8496670861765815 0.8879042948310127 0.000137137728 0 0
64 9 0 0.0 MB 0.5 1.0 1.0 0.00012119999999999999 55 0 0 0 0
65 9 0 2.4e-06 MF 0.9230310025208297 1.0 1.0 0.00011988 0 0
66 33 0 4.104e-06 MF 0.9942687955606851 0.9539097119402661 1.0 0.00011591519999999999 0 0
67 11 0 3.5702399999999995e-06 MF 0.9994542136776041 0.8496670861765813 0.9222084746362772 0.00011440454399999999 0 0
68 12 0 3.3648e-06 MF 0.9895585385824712 0.9070238357249059 0.9326476366355371 0.00014038944000000002 0 0
69 12 0 6.74592e-06 MF 0.9968973627284682 0.8496670861765813 0.8879042948310127 0.000247555776 0 0
70 11 0 2.6280959999999998e-06 MF 0.9998437117690931 0.7839429652810308 0.8644212724405783 0.0001231618176 0 0
