0 0 0 0.0 MB 0.5 0.0 0.0 0.0 0
1 0 0 0.0 MF 1 1.0 0.0 4.2e-05 0 0
2 35 0 0.0 MF 1 1.0 0.0 2.2800000000000002e-05 0 0
3 0 0 1.2e-06 MF 1 0.9864075471627056 0.0 5.46e-05 0 0
4 0 0 1.0799999999999998e-06 MF 1 0.9539097119402661 0.0 6.144000000000001e-05 0 0
5 0 0 1.032e-06 MF 1 0.907023835724906 0.0 6.1176e-05 0 0
6 0 0 1.6128e-06 MF 1 0.8496670861765813 0.0 6.16704e-05 0 0
7 0 0 1.24512e-06 MF 1 0.7839429652810307 0.0 6.186816000000001e-05 0 0
8 0 0 1.098048e-06 MF 1 0.7129349249049636 0.0 6.194726400000001e-05 0 0
9 0 0 1.0392192e-06 MF 1 0.6381280165800175 0.0 7.33789056e-05 0 0
10 0 0 1.01568768e-06 MF 1 0.6039127396796276 0.0 6.655156224000001e-05 0 0
11 1 0 0.0 MF 1 1.0 0.0 2.1e-05 0 0
12 0 0 1.006275072e-06 MF 1 0.9085057059400033 0.0 6.3220624896e-05 0 0
13 1 0 6e-07 MF 1 1.0 0.0 4.5600000000000004e-05 0 0
14 1 0 8.4e-07 MF 1 0.9848627598170249 0.0 5.484e-05 0 0
15 2 0 0.0 MF 1 1.0 0.0 2.1e-05 0 0
16 24 0 0.0 MF 1 1.0 0.0 2.1e-05 0 0
17 1 0 9.36e-07 MF 1 0.9493027998597272 0.0 5.8535999999999997e-05 0 0
18 0 0 1.0025100288e-06 MF 1 0.9556778523749342 0.0 6.30882499584e-05 0 0
19 0 0 1.00100401152e-06 MF 1 0.9548380998208077 0.0 0.00012363529998336 0 0
20 0 0 3.4004016046080002e-06 MF 1 0.9439137704741554 0.0 0.00012745411999334397 0 0
21 35 0 6e-07 MF 1 1.0 0.0 9.131999999999999e-05 0 0
22 35 0 1.44e-06 MF 1 0.9864075471627056 0.0 0.000115728 0 0
23 24 0 1.2e-06 MF 1 1.0 0.0 8.4e-05 0 0
24 1 0 1.5744e-06 MF 1 0.8987954352285797 0.0 0.0001020144 0 0
25 2 0 6e-07 MF 1 1.0 0.0 8.639999999999999e-05 0 0
26 1 0 2.4297599999999998e-06 MF 1 0.8348158098527652 0.0 0.00012120576000000002 0 0
27 2 0 2.04e-06 MF 1 0.9864075471627056 0.0 0.00011436 0 0
28 3 0 0.0 MF 1 1.0 0.0 2.6399999999999998e-05 0 0
29 23 0 0.0 MF 1 1.0 0.0 2.4599999999999998e-05 0 0
30 28 0 0.0 MF 1 1.0 0.0 2.52e-05 0 0
31 3 0 6e-07 MF 1 1.0 0.0 5.376e-05 0 0
32 2 0 2.616e-06 MF 1 0.9539097119402661 0.0 8.9544e-05 0 0
33 24 0 2.2799999999999998e-06 MF 1 0.9864075471627056 0.0 0.00011159999999999998 0 0
34 25 0 0.0 MF 1 1.0 0.0 4.4999999999999996e-05 0 0
35 24 0 2.7119999999999996e-06 MF 1 0.9539097119402662 0.0 0.00011904 0 0
36 25 0 1.2e-06 MF 1 1.0 0.0 9.180000000000001e-05 0 0
37 24 0 2.8848e-06 MF 1 0.907023835724906 0.0 0.000120216 0 0
38 35 0 2.3759999999999998e-06 MF 1 0.9539097119402661 0.0 0.00011949119999999999 0 0
39 35 0 3.3503999999999997e-06 MF 1 0.907023835724906 0.0 9.339647999999999e-05 0 0
40 24 0 2.95392e-06 MF 1 0.8496670861765813 0.0 0.0001188864 0 0
41 2 0 2.2464e-06 MF 1 0.907023835724906 0.0 8.681760000000001e-05 0 0
42 24 0 2.381568e-06 MF 1 0.7839429652810307 0.0 8.775456000000001e-05 0 0
43 35 0 1.9401600000000002e-06 MF 1 0.8496670861765813 0.0 7.6958592e-05 0 0
44 0 0 3.7601606418432e-06 MF 1 0.9122611946113094 0.0 9.298164799733759e-05 0 0
45 1 0 2.7719039999999998e-06 MF 1 0.7586799072068073 0.0 0.000119282304 0 0
46 0 0 2.70406425673728e-06 MF 1 0.8687137861216492 0.0 7.799265919893503e-05 0 0
47 35 0 1.9760640000000003e-06 MF 1 0.7839429652810307 0.0 7.158343679999999e-05 0 0
48 35 0 1.3904256000000002e-06 MF 1 0.7085847453769566 0.0 7.063337472e-05 0 0
49 24 0 2.1526272e-06 MF 1 0.7129349249049636 0.0 7.530182400000002e-05 0 0
50 35 0 1.75617024e-06 MF 1 0.6387557043607045 0.0 7.8653349888e-05 0 0
51 0 0 1.681625702694912e-06 MF 1 0.8517382031375411 0.0 7.559706367957401e-05 0 0
52 35 0 1.9024680959999999e-06 MF 1 0.9153412304195722 0.0 9.14613399552e-05 0 0
53 0 0 1.8726502810779648e-06 MF 1 0.8594847460600136 0.0 7.40388254718296e-05 0 0
54 35 0 1.9609872384e-06 MF 1 0.942127112202508 0.0 8.038453598208e-05 0 0
55 35 0 1.38439489536e-06 MF 1 0.919538285422668 0.0 7.5953814392832e-05 0 0
56 0 0 1.349060112431186e-06 MF 1 0.8297305643208069 0.0 7.281553018873184e-05 0 0
57 0 0 1.7396240449724745e-06 MF 1 0.7896080758022652 0.0 7.232621207549274e-05 0 0
58 0 0 1.2958496179889898e-06 MF 1 0.7293591779815362 0.0 7.27304848301971e-05 0 0
59 0 0 1.1183398471955958e-06 MF 1 0.8378189462042314 0.0 7.229219393207884e-05 0 0
60 1 0 1.7087615999999999e-06 MF 1 0.6879430008869648 0.0 9.21129216e-05 0 0
61 24 0 1.46105088e-06 MF 1 0.6397310848829715 0.0 7.33207296e-05 0 0
62 2 0 1.49856e-06 MF 1 0.8496670861765815 0.0 7.852704e-05 0 0
63 28 0 6e-07 MF 1 1.0 0.0 5.328e-05 0 0
64 3 0 1.44e-06 MF 1 0.9864075471627056 0.0 6.5904e-05 0 0
65 28 0 8.4e-07 MF 1 0.9864075471627056 0.0 6.511200000000001e-05 0 0
66 23 0 1.2e-06 MF 1 1.0 0.0 5.364e-05 0 0
67 28 0 1.536e-06 MF 1 0.9539097119402661 0.0 6.98448e-05 0 0
68 23 0 1.0799999999999998e-06 MF 1 0.9864075471627056 0.0 6.5256e-05 0 0
69 22 0 0.0 MF 1 1.0 0.0 2.7000000000000002e-05 0 0
70 21 0 0.0 MF 1 1.0 0.0 2.52e-05 0 0
71 22 0 1.8e-06 MF 1 1.0 0.0 5.46e-05 0 0
72 22 0 1.32e-06 MF 1 0.9864075471627056 0.0 6.504e-05 0 0
73 21 0 6e-07 MF 1 1.0 0.0 5.688e-05 0 0
74 20 0 0.0 MF 1 1.0 0.0 2.6399999999999998e-05 0 0
75 19 0 0.0 MF 1 1.0 0.0 2.52e-05 0 0
76 19 0 1.2e-06 MF 1 1.0 0.0 5.328e-05 0 0
77 20 0 6e-07 MF 1 1.0 0.0 5.436e-05 0 0
78 19 0 1.0799999999999998e-06 MF 1 0.9864075471627056 0.0 6.4512e-05 0 0
79 19 0 1.6319999999999998e-06 MF 1 0.9539097119402661 0.0 6.96048e-05 0 0
80 19 0 1.8527999999999999e-06 MF 1 0.907023835724906 0.0 7.164192e-05 0 0
81 19 0 1.3411199999999999e-06 MF 1 0.8496670861765813 0.0 7.2456768e-05 0 0
